"instructor","id","section_sis_id","my_instructor_may_share_my_reflection_responses_with_the_researchers_in_this_study","as_of_today_i_am_at_least_19_years_of_age","in_this_class_youll_be_learning_about_the_process_of_scientific_investigation_what_do_you_think_that_process_looks_like_from_the_perspective_of_a_researcher_compared_to_what_it_looks_like_from_the_perspective_of_someone_in_the_general_public_who_is_a_consumer_of_scientific_results_write_a_paragraph_at_least_3_5_sentences_about_how_you_think_science_happens","paste_the_response_code_you_received_after_participating_in_the_graphics_experiment_here","what_do_you_think_the_purpose_of_the_experiment_was","what_hypotheses_might_the_experimenter_have_been_testing","what_sources_of_error_are_involved_in_this_experiment","what_variables_were_examined_for_each_variable_identify_whether_it_was_quantitative_or_categorical","what_elements_of_experimental_design_such_as_randomization_or_the_use_of_a_control_group_do_you_think_were_present_in_the_experiment_why","what_components_of_the_experiment_are_clearer_now_than_they_were_as_a_participant_what_questions_do_you_still_have_for_the_experimenter_write_3_5_sentences_reflecting_on_the_abstract","how_did_the_information_you_gained_from_the_components_of_this_project_participation_post_study_reflection_extended_abstract_presentation_differ","what_components_were_emphasized_in_the_presentation_that_werent_emphasized_in_the_abstract_why_do_you_think_that_is","what_critiques_do_you_have_of_this_study_and_its_design_what_would_have_made_the_study_better","if_you_had_to_hear_about_this_study_using_only_the_extended_abstract_or_only_the_presentation_which_one_would_you_prefer_which_one_would_be_better_for_determining_whether_the_experiment_was_well_designed"
"6","6f2aeffff301028d16fde1374b5aed4a","STAT-218-001.1241","I agree","TRUE","There are six steps to the process of a scientific investigation: Ask the research questions, Design an Experiment, and Collect Data, Explore data, Draw inferences beyond data, Formulate a conclusion, and Look back/ahead. These are the specific steps researchers must go through. Therefore, from the researcher's perspective it means coming up with a research question, formulating a null hypothesis and an alternative hypothesis, designing the experiment, analyzing the data, and lastly finding the conclusion to the research question. 

For the general public, it is very unlikely for them to know the behind-the-scenes. Instead, they will only know about what was discovered and how it will impact their lives moving forward. They might hear about it on the news or on social media ;therefore, the information is written in the format of a news article with limited information. ","23934-77822-93572-97818","I think the purpose of the experiment could have been the see the different ways data could be visualized (2D graphs and 3D printed graphs, and 3D digital graphs). 

They wanted to replicate the findings of Clevland and McGill's work and are trying their best to replicate it as best as possible. ","The hypotheses could be:

* 3D charts are more legible and give more accurate values than 2D charts.

* 3d printed charts are more legible than both 3D and 2D digital charts

* 2D charts have greater accuracy in values since they are more familiar than 3D modeled charts and digital charts. ","* It seems there could be a bias in the type of kits and how they are presented for people to chose (example the ones on the top of the box rather than the ones on the bottom of the box) 

* Misinterpretation of the task that students were given. 

* Technical errors and whether the software was working properly. ","Categorical Variables: The different types of charts (2D, 3D digital, 3D models)

Quantitative Variables: The number of participants and the specific value each participant put on each of the charts. ","Randomization: Order of when the charts were presented, choosing which kit to use. 

Controlled: The setting where it took place, the task was the same for all participants

They were present because they needed to represent the validity of the experiment and study they were trying to perform. Randomization helps reduce bias and reduces the risk of having the study manipulated. The control group helps keep variables consistent to get accurate results. ","It clarified some components of the experiment, such as what it would be used for in the future. They mentioned providing support for creating data graphics for the visually impaired. With that, I also saw the equation they would be using to calculate the response, which they can correctly compare results. 

I would still like to know how they calculate the response time and how much time is ""quick"" enough. Another question is, since this study has already been done before, what were the results, and how big of a difference would be the results? Furthermore, how would that impact future research and implications? 

The abstract recognizes the difficulty it can be for our brains to understand the depth. Therefore, they want to replicate a study to take a closer look into understanding them when compared to regular 2D charts. It shows that this study intends to address a problem that many people are having with interpreting information that is 2D and 3D and, therefore, make it easier to comprehend. 

 ","I gained more in-depth information about the equations they used and how they were calculated. The results were then shown, which explained predictions and how they felt about the results. For example they were a little surprised that one of the studies did not show more of a difference. ","It explained how they ran into the issue of having 42 treatment combinations and how they were able to make it more manageable by having each subject receive 5 of the 7. I think it was mentioned in the video because they explained the study more in-depth. ","A critique I have is when taking the quiz and choosing a value that best represents the graph it was difficult using a slider. Therefore I would think having people manually put the number in rather than using the scale would have been a better design of the study. ","I would have preferred the presentation since it showed visuals and it was talked about how the kits looked like which the abstract did not. I think whether the experiment was well designed an abstract would have been better for determining whether the experiment was well designed. "
"7","b1a94356b7c09534783af36f009d886b","STAT-218-007.1241","I agree","TRUE","A scientific investigation begins with observations that are made, which lead to questions that then turn into a hypothesis. After a hypothesis is formed I believe research experiments and studies are conducted. To be a credible scientific investigation, the results need to be reviewed and aligned with many other scientists. Then, I believe follow-up research should be conducted to strengthen the credibility of the conclusion, which leads to accepting or rejecting the original hypothesis. I think this process that I previously described is how a researcher would see the scientific investigation process, however to the general public I think that most people would assume it is more simple than that. I also think the general public does not wait to have all the results or for other reviews to agree with the findings of an experiment before they believe it. I think most of the general public hears science jargon, sees an established/what they think is a credible source, and some statistics and believes it almost 100%. ","67969-98091-29155-87170","I think the purpose of the experiment was to see how accurately we can estimate the percentages and heights of the bars/blocks based on each other's heights. I also think it is testing how differently each of us sees the heights and how our answers may change throughout the experiment. ","Students can accurately determine the percentage of height of a block based on the given height of another block 50% of the time. ","* Different packs of the bars

* Bars could be missing

* People who have glasses/visual impairments

* Different displays on the computer (different computers, zoom size, etc.)","* If the students can estimate the height of the block properly - categorical

* The package of bars given to the students - quantitative

 ","I don't think that there were control groups present because this study would be hard to have a control group. They would have to still participate in some way, but they wouldn't be estimating the heights of the blocks/bars so I don't think it would be effective or applicable to use a control group. I do believe there was randomization within the experiment because we were put into different groups randomly by giving us a different package filled with differently sized bars/blocks and maybe an online presentation as well. ","After reading the extended abstract of this experiment, most parts of the experiment are a lot more clear now. For example, just even the research question for this experiment is more clear, making the way it is conducted make more sense as well. When previously reflecting on the experiment we had to guess the research question and what was being measured, it was very hard to determine the reason and hypothesis for this experiment without any context expecting participating. As a participant, it was somewhat confusing as to why they had some questions online versus some questions that pertained to 3D objects held in their hands. One question I still have for the experimenter is why they think the data comparisons for 3D charts are worse than 2D charts. ","During the participation, I did not gain much information, especially because we were not presented with the scientific question or any of the hypotheses. The post-study reflection and extended abstract provided similar information to me, we were able to understand what we participated in and why they conducted the experiment the way they did. Finally, the presentation gave me the most information, which gave me info on all of the experiments, and a very good overview of the entire experiment. ","I think some things that were emphasized in this presentation that weren't emphasized in the abstract are the potential errors or problems within the experiment as well as the actual ""math"" or statistic information within the experiment. I also think that in the presentation they included much more about the aspect that some of the participants in the experiment were students of statistics versus those who were not. ","I think that this study and its design could have been better with the way that the 3D-printed models were printed. Some of them had weird bumps or errors in their prints, which could affect the results. The way we were able to view the 2D online models could have been different like it would be more helpful to zoom in or move it around more. ","I think I would prefer to hear about this study only using the extended abstract because I prefer the way the information that was in the extended abstract was presented. It included a lot of information that was included in the presentation could also be found in the extended abstract. I think that the extended abstract would also be the best for determining whether the experiment was well designed because it explained some of the errors or potential errors and where the study should be furthered. "
"7","28b7233d7c1636108da9d71a4cd4dadc","STAT-218-007.1241","I agree","TRUE","Science happens by process and experimentation. In the eyes of a scientist, they follow a procedure to find the outcome of a question. Using certain methods, like the scientific method, they can find participants and perform their tests needed to find results. In the eyes of the consumer, they intake this information gathered by the scientist. They use it for all sorts of purposes, like projects, essays, debates. The consumer could even join in on experiments, where they could find a test and sign up for them. Everything is done in the advancement of the world and science, to better everyone. ","08568-92168-55055-11077","To determine if people could determine the difference between graphs. ","If people were to look at graphs and tell the difference between them, then they would be able to figure out which ones are smaller and bigger. ","People could not properly see the differences between the graphs. People could not understand the instructions. ","The different types of graphs, being physical, 2d, or 3d- quantitative 

The size of the bar in question- quantitative

If it was either a circle or triangle bar- categorical ","I think they didn't fully use randomization in this experiment because the STATs classes were the ones being tested. 

The independent variable was the type of graph it was- physical, 2d, 3d

The dependent variable was how the test subjects would interpret the graphs. ","Something that was clearer to me was the reason for doing the experiment. They wanted to replicate partial results from Cleveland and McGill, along with extending the study to multiple mediums of data visualization. One question I have is that could there be another factor that could be added which could affect the data differently?","They differed by how interactive they actually were. It was more interactive with the actual experimentation then it was when doing these reflections and readings. ","Who was actually taking part in the experiment. I didn't here mention of who was actually doing the experiment, only that it could be used for teaching purposes in Stats classes. ","The only critique that I have for this study is that it isn't engaging enough. In its defense this is a study about graphs and boring stuff like that, so it is going to be hard to make it engaging to people. ","Probably the video presentation because someone is explaining the experiment. Whereas if I'm reading it, I will probably find it more boring to read about graphs. "
"7","50e8e598cd192d01bd53a16a25358fea","STAT-218-007.1241","I agree","TRUE","For someone who is a true scientist and doing education-based research they have a process of a few steps. They start by gather data then they form a hypothesis, do the experiment, and analyze the data. For someone who is not doing research-based science, also known as a normal person, they do all these things without even thinking about what they are doing. When it comes down to it, scientific investigation is about analyzing everything and trying to find answers, this is true for anybody who is answering a question. ","FZ4PA?","To gather information about a certain thing. ","Why the outcome that happened happened. ","Bias and human error. ","Quantitative because there were more then two possibilities. ","They tried to make it random but there will always be some kind of bias that prevents this. ","Now that I have been a participant it makes more sense to me why they would be doing this experiment. I also have a better understanding of how the entire process works with data collection and other factors that may play into it. This really helped me to learn and be put in a different situation then I am used to in order to help to grow and expand my thinking about statistics. ","It helped me to understand a true experiment start to finish, Realizing all of the ways that the experiment is performed helps me to learn how they do it. ","They highlighted some things like the data and parts of the experiment. I think that they did this so that we can better understand what they did. ","They could have used some more data and tried to be more efficient. If they would have used more data they could have gotten a better idea of the experiment. ","The abstract would be better for understanding because it’s more detailed. The presentation would be better for seeing if it was designed well. "
"7","3a0ebf03d570094630828923e2723ac0","STAT-218-007.1241","I agree","TRUE","From a researchers perspective they look at all the things from the variables, to the parameters to anything that might skew the experiment in anyway. The consumer of scientific results just looks at the data of the experiment. They only look at the the numbers or outcome of the experiment and thats it. ","52923-18338-93823-69107","The purpose of the experiment was to see how different students can perceive different heights. ","How much can students perceive heights of towers based on how close or far away they are from each other.","Some students who maybe did not understand how the experiment was working. ","The variables examined were the proportion of one tower to the next and if it was a star or circle. The first one is quantitative and the second is categorical.","Each person randomly picked a bag and each bag was different. Probably in each bag though there was one that was the same in each bag.","The most clear now about the experiment is seeing the difference between 3d bar charts and 2d bar charts. I did not understand that this was the whole idea of the study. The one question I have is if there is a difference in accuracy between 2d and 3d charts.","After learning about the presentation and extended abstract I learned that the study was to see how beneficial 3d graphs were. At the beginning during participation I thought that we were just being tested on perception.","Does having a graph in a 3d environment help more than a graph in 2d. I believe in some aspects it can help and in some aspects it could ruin.","I don't really have any critiques. The study maybe would have been better if at the beginning we were told why we were comparing 2d and 3d graphs.","I would prefer the presentation. The presentation would be better for determining if the experiment was well designed."
"7","39e046f9e7db5e60e872a1206df793ae","STAT-218-007.1241","I agree","TRUE","I think the process of scientific investigation will almost look identical to the scientific method that we all learn at a younger age. From the perspective of a researcher, I feel like this process will be very important in their everyday life. They will need it to complete their experiments and testing. For the general public, I feel like most people do not know what it is. Maybe they use it everyday with realizing it but they do not know it is being used. ","52283-97564-48230-57603","To see how well students are at makes educated guesses about the height of the bars. ","How tall are each of the bars on the graphs. ","Trying to get the correct number on to the computer was hard. The number line was very touchy. ","triangle or circle bar--categorical 

the height of the bar--quantitative ","I think randomization was used in this experiment. I was able to randomly choose the order of my graphs so they were not in the same order for everybody. ","I now better understand why we did the study in the first place. While doing the first half of the study I was confused on the purpose of it. A question I still have an the experiment is how much data do you think will be needed for the final results of the experiment and do you think that the data will change significantly throughout the next years?","As each step of the study continued I gained more knowledge of what this study was truly meant for. During just the participation I was very confused on the purpose but now I see. ","I feel as though I understood the presentation better because there were visualizations. The abstract was a bit confused to collect all of the information from. ","I think really explaining what the abstract was for during the first step would help them with better results. I was confused on what the purpose was so I felt as though I did not need to try as hard or get the correct results. ","I think the presentation would be better. It is explained well and has good visuals to explain what would be happening. "
"7","d12aaf0ec645073043ceb470a419842b","STAT-218-007.1241","I agree","TRUE","A researcher approaches scientific investigation from a very different and more analytical point of view. Researchers start by asking a question that they can test and, more specifically, run sample tests on. Then the researcher takes the data that they received from the sample tests and makes a conclusion based on the data. While a member of the general public does not classify all of the data and run all of the specific tests, they still take into account all of the necessary information before concluding. Although both come to a similar conclusion, the researcher is a lot more organized and has a more standardized procedure. ","16411-41442-43358-36836","I think that the purpose of the experiment was to familiarize ourselves with the context of how we can see statistics in real life. ","The experimenter might have been testing whether people notice the difference in percentages in real life vs on the computer, and whether people stay consistent on their responses. ","the sources of error could be when the subjects were guessing the percentages. I know that I messed up on a few. The subjects were also asked many of the questions twice and they probably did not always stay consistent on their responses. ","There were at least two variables recorded, whether the subject got the percentage right, and whether they stayed consistent. These were both categorical. ","I think that they randomized whether they designed the experiment so that they could test for the results that they wanted by framing the questions and data to see the responses that they are looking for. They also separated all of us so we had to take it on our own, which eliminated a chance for social implications to create a confounding variable, for example if a popular kid got a crazy answer and everyone wanted to be their friend so they also put that answer. ","Having participated in the study, I now realize that the experimental design was more intricate than I initially thought. The manipulation of variables and the methodological approach become clearer upon reflection. However, I still have questions about the specific criteria used for participant selection and why they would use a introductory stats class. Overall, the abstract prompts me to contemplate the broader implications of the study's findings and how they contribute to our understanding of decision-making processes.","Each one gave me more and more insight into the composition of the experiment. Overall I gained the most knowledge from the last one, it thoroughly describes every single thing about the experiment. ","During the presentation the different types of graphs that we are looking at is emphasized, while it wasn't emphasized in the abstract. I believe that the reason for this is because it is easier for someone to explain on a video, rather than on paper. On a video or in person presentation people can explain specific parts of graphics, which may be harder to accomplish, while trying to maintain the brevity of the abstract article.","The sample size of this experiment could possibly create a bias, because we are getting a large proportion from the same class that is an entry level stats class. Because all of the students are in an intro stats course they might not be the smartest math students. I suggest we open this study up to all students to eliminate all possible biases. ","I would prefer to watch the presentation rather than reading the abstract because I am more of a visual learner. I feel like I can determine more about the experiment through the visual representations and a human explaining the composition of the experiment. "
"7","fb28bede22059c28c3db91d6f5220b97","STAT-218-007.1241","I agree","TRUE","I think that there are a few differences between the perspective of a researcher and the perspective of a consumer. For one, a researcher will be much more involved in the process of investigation in comparison to a consumer. The researcher will work hard to formulate a question, accurately collect data, analyze and interoperate the data, and then publish it in a way for people to understand. Whereas, most consumers will just access the already obtained and analyzed data in a simplified form. The consumers needs just a few minutes to gather the same information that took the researcher weeks or maybe even months. ","76160-76886-47161-19408","to understand how people interpret statistical graphics and how accurately the information can be represented. ","the hypothesis was about the accuracy of volume prediction among students in STAT 218","human error of incorrectly determining which bar was larger, as well as human error in deciding how much bigger it is. there is also the possibility of not being careful and selecting the wrong blocks out of the bag and misinterpreting the label ","which bar was larger, circle or triangle. this is categorical

how many units tall is the shorter bar if the larger bar is 100. this is quantitative","i think this design was mainly randomization because students were instructed to just take a kit out of the box, meaning that a lot of people likely chose the same kit as it was on top. therefore, there may be a lot of data for one of the kits and not really any data for the other kits. ","I now have a clearer understanding on the purpose and goal of the experiment. I understand now that their goal was to replicate results similar to a previous study and to extend the data to visualize multiple mediums. My question to them is why did they decided to randomize the heights of the other bars and not manually decide their heights? And why they chose to use college students as their form of data collection?","i feel like each component gave me more and more information about the experiment and it made more sense throughout the different components. I remember initially being really confused on what we were doing and why. ","i dont really remember the abstract but i dont remember all of the equations and explanation of some of the data. I think this is because it is easier to explain these things on video rather than words. ","I don't really have any critiques. I just wish the models were labeled a little bit better, I think I remember accidentally selecting the wrong model number since they were all so similar and then I couldn't go back and change it. ","I think the presentation is what I would prefer. It made a lot more sense hearing someone explain it with words and graphics.I think the abstract was a little confusing to follow. I think both are good choices if you need to determine if it was designed well. "
"7","800d94b6be6106df843b01030d18dabb","STAT-218-007.1241","I agree","TRUE","When I think of the process of scientific investigation from the perspective of a researcher, I think about the steps of the scientific method. First, they think of a question, form a hypothesis, and conduct an experiment. From there, they evaluate their data to come up with a conclusion and either confirm or reject their hypothesis. A person from the general public does not strictly follow those steps because the data is already provided for them from scientists. ","33575-50481-38183-93004","Too evaluate how people perceive things differently. ","If someone is taking Stat 218 then they will be able to more accurately perceive the heights of the bars.","Some students may rush through the experiment, so their results might not actually reflect how they perceive the height.","Is the bar shorter vs taller - categorical

What percent shorter or taller is the bar - quantitative","The experimenter most likely had tested a control group, so they had something to compare our results to. ","The purpose of this experiment is clearer after reading the abstract. I did not realize how much thought went behind designing this experiment in order to eliminate confounding variables, like the bar color. I think it is interesting that they were replicating another study. I would ask how the data they collected compares to the data from Cleveland and McGill's study. ","The information differed because at the beginning we did not really understand the purpose of the experiment and it was more about making inferences. Once we got more tools like the abstract and the presentation it was easier to see the goal of the experiment and apply it to how I felt when participating at the beginning. ","There were more pictures of the graphs and how perspective changes the data. I think this is because it is easier to explain what is going on in the graphs when speaking than it is when writing. ","The only critique I would have is that I think it should be expanded to students outside of just Statistics. I understand why they chose these students, but I think it would be interesting to see how the data would differ between students in other classes. ","I would prefer the extended abstract because I tend to learn best when I am reading something. When watching the presentation, I felt like I absorbed less information than when I read the abstract. "
"7","f5d20bc8a1a77ee7f0295dd1a8fcfc32","STAT-218-007.1241","I agree","TRUE","The process of scientific investigation is a lot more extensive from the perspective of a researcher than from the general public. The process from the perspective of the researcher would involve observations leading to a hypothesis, an experiment, and analyzing the results. The analysis of the scientific process is more in depth to the researcher because they have to make sure the experiment is unbiased and unaffected. Then from that, they have to use the results to determine an outcome from the data. They can have data support their hypothesis or they may have to go back and alter their hypothesis and their experiment. The general public, on the other hand, does not follow that whole process. Instead, they simply read the analysis report from the researcher and connect it to their daily lives, if applicable. ","43910-41280-69993-78386","I think it was to see how college students who are taking statistics can estimate percentages compared to those who are not taking statistics. ","Do college students who have taken statistics have a better accuracy when it comes to estimating percentages compared to college students who have not taken statistics?","When using the 3D printed blocks, the participant could have used the wrong block or looked at the wrong column on the block. The internet could have also been a factor; if the internet was not working properly. Or malfunctions in the survey. ","* the percentage guess = quantitative

* did they follow directions (was the guess close at all) = categorical","We had to randomly choose a bag to use for the 3D printed models. This might be to ensure that the directions could be followed in relation to using the correct 3D block when asked. This could also prevent two friends who were taking it simultaneously to not share what they thought. ","What the experiment was attempting to solve or observe is now more clear. When initially doing the experiment, I was not sure what the point was surrounding this study, so it was not as interesting to do compared to if I would have known. If I would have known the study, I would have maybe paid a little more attention to what I was doing because I realized halfway through that I mistyped a few of the 3D charts because they were labeled extremely similarly. A question I have is: How do you plan on adjusting the graphics (both 3D printed as well as those for the visually impaired) based on the results of this study? In other words, what are you expecting from this study and what will the results tell you?","The information gained from the abstract was beneficial in getting a basic understanding of the experiment. The experiment and post-study reflection did not provide information personally, but after reading the abstract and watching the presentation, I can look back and see the purpose of the experiment and how it relates to the real world. The presentation was the most beneficial because he explained in it a way by showing pictures that related to the experiment that I participated in. ","I think that how this study relates to real world topics was more emphasized in the presentation. I got the basic understanding of the experiment in the abstract, but in the presentation it talked more about what provoked this experiment and how it can be used to increase the understanding of graphs in relation to the corporate world. This is probably because it is easier to show this idea with pictures rather than with words.","I would say to make the labels on the bottom of the 3D printed graphs different. When I was doing this study, I only looked at the last 4 digits of the graph and realized halfway through that I was looking at the wrong graph because they were labelled so similarly. ","I would prefer the presentation because it showed the reason for why they were doing the presentation more clearly and it was easier to follow along. It would be more beneficial for those who do not have a background in statistics as well because they can see the pictures within the presentation rather than just reading the words in the abstract. "
"7","f45b77f8f752396bf41e991d1371eb5d","STAT-218-007.1241","I agree","TRUE","I think this process is unique to each perspective. However, the process needs to be understandable to both perspectives. To effectively communicate questions and results. ","24006-88422-27970-07691","To interpret how people view graphs. ","Do all people read bar graphs the same. ","If the survey was taken seriously by students. ","Interpretation of graphs - Quantitative

 ","Not random if only students in Stats did the survey. ","As a participant, I was confused. While participating, I wondered what the experimenter could be measuring. It is much clearer now. Now that I know what they were looking for, I understand that a participant should not know the objective of the experimenter. ","While participating, I was unaware of the project's components. I gained much more information about them through the extended abstract and presentation. ","The presentation describes how the results were gathered and interpreted. In an abstract, you do not usually describe your methods or outcomes. ","I have not participated in a blind study before so I do not have much to compare to. I would maybe like to know beforehand that they would explain later instead of being confused. ","The presentation would be more beneficial for deciding if the experiment was well-designed because it presents more information. While that abstract is short and does not go into great detail. "
"8","fbf936b384c0d1b53d23930f90f8a98b","STAT-218-009.1241","I agree","TRUE","We will get to see the behind-the-scenes of what happens. We will also be able to have say in what happens in the experiement.",NA,NA,NA,NA,NA,NA,"The abstract communicates the research goal of evaluating the effectiveness of 3D printed bar charts compared to 2D charts and the methods used, like the replication of Cleveland and McGill's position-length experiment. Questions still remain regarding specific details of the replication process, like how the values for bar heights were determined and behind certain design choices. The potential implications of the study's findings for data visualization and accessibility would be beneficial.","Each component of the project contributes to the understanding of the research process, from initial data collection to final findings.","Presentations offer an opportunity to engage the audience more and provide a better look at the research compared to abstracts, which typically are focused on summarizing the key points.","I don't have any critiques on the presentation or the study.","While both the extended abstract and the presentation communicate research findings, the presentation may be preferred for the way it can engage the evidence, while the extended abstract may be better for a detailed examination of the study's design and methodology."
"8","5af18abf8efbe42d23d24ce31eb51a77","STAT-218-009.1241","I agree","TRUE","I think someone with an outside perspective like myself does not understand how much goes on to ensure scientific results are as accurate and specific as possible. I think a good study or experiment is done with the goal of precision.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","f740c57c1086f8dbe1b02fbe45502a1d","STAT-218-009.1241","I agree","TRUE","Scientific investigation involves formulating hypotheses, designing experiments or studies to test those hypotheses, collecting and analyzing data, and drawing conclusions based on the evidence. It often requires meticulous attention to detail, critical thinking, and collaboration with peers to validate findings. They may perceive science as a series of definitive discoveries presented to them, often overlooking the complexities, uncertainties, and revisions that are inherent in the scientific process.",NA,NA,NA,NA,NA,NA,NA,"In summary, each component of the project—participation, post-study reflection, extended abstract, and presentation—contributes uniquely to the learning process, facilitating comprehension, synthesis, communication, and reflection. Together, they form a holistic approach to knowledge acquisition and dissemination.","The components that were emphasized were visuals, verbal explanation, engagement and interaction. Presentations aim to not only convey information but also to captivate and persuade the audience, making use of various techniques to achieve this goal.","To improve the study's quality, consider expanding the sample size to increase representativeness and diversity, ensuring rigorous methodology, and addressing potential confounding variables. Enhancing measurement validity and reliability, while upholding ethical considerations, will strengthen the study's credibility","While both the extended abstract and the presentation offer valuable insights, I would prefer the extended abstract for a comprehensive understanding of the study's design and findings. The abstract typically provides more detailed information about the research methodology, results, and implications, allowing for a thorough evaluation of the experiment's design"
"8","3a7381245f72d84cd0ad96d044a31b26","STAT-218-009.1241","I agree","TRUE","I think science happens by individuals who are very curious on how/why something works. The individuals then think of a question and come up with a hypothesis. After creating a hypothesis, the individuals do multiple tests and experiments to try and prove their hypothesis.

 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","8695e8dd2fd92b6dcdc38e68cb4e5366","STAT-218-009.1241","I agree","TRUE","I think the process of scientific investigation will look different depending on if you're a researcher or simply someone in the general public who's a consumer of scientific results. I think there's a lot more understanding and clarity on the research side of things because they know how it all works behind the scenes; whereas the general public is just expected to trust this process, without really  understanding how it gets done. It's a lot more complex and detailed on the research side of things since they're dealing with research questions, hypotheses, experiments, and various studies. Scientists are the ones involved in this strenuous process of investigation and because of this they have a very clear understanding of the data being produced; whereas the general public doesn't see any of this investigation process and/or have the high degree of knowledge that requires clear understanding and analysis of this process. The general public consumes this research using their current level of understanding and/or competence, and forms their own opinions from it, and in doing so, they could be consuming this information with a more biased or subjective lens, whereas researchers know how to look at the information with a more objective and unbiased lens. ","60288-08526-19398-85306","To measure how students or individuals perceive distances in bar graphs. ","Could have been testing how well individuals can measure distances between things with the naked eye and without context. ","Possibly the parallax error could have occurred, or the lack of reference points could have been a source of error; also just human judgment, or observer bias.","1) Distance between objects - quantitative

2) Task complexity - categorical ","Randomization was present in the experiment. Each element of the experiment was randomly assigned to random students participating individually in the study. I believe it was done this way due to the design of the experiment and how it was ultimately planned and executed in the setting it was given in. It was set up in a survey type manner, rather than a controlled study type manner. It was most likely designed this way due to the limiting factors of it being done with college students who are typically busy and have tight schedules to adhere to which makes it difficult to perform a controlled study type of experiment. ","Most of the components of the experiment are much clearer now than they were when I was a participant; considering there were basically zero instructions and no explanations given concerning the characteristics of the experiment and/or what the purpose of it was. While I was participating, I was trying to assess and evaluate what the possible purpose or goal is of the experiment. The most I came up with was that they were evaluating how well participants are able to intuitively measure or amateurly assess the height of something in a 3d bar graph and then compare it to other structures and sizes in terms of relativity. It's clearer now after reading the abstract that the study focuses on evaluating how individuals perceive and judge bar charts created using 3D printing technology. After reading this and understanding the entire purpose of the experiment, I would say honestly, my assessment wasn't too off.

Further questions I have would be possibly be, ""what the potential implications of this finding would have for fields that utilize data visualization techniques?"" ","Each part of this study contributes differently to the understanding and communication of the experiments findings. 

1) Participation- this was the direct interaction with the 3D bar charts, which allowed me first-hand experience and insights with the experiment; specifically, on its clarity and effectiveness. 

2) Post-Study Reflection- this was my reflection on what I experienced after interacting with the 3D bar charts.

3) Extended Abstract- this was my understanding of the study's purpose, methods, goals, key findings, and final conclusions.

4) Presentation- Final interpretations and results of study.","The presentation emphasized design choices, explaining the rationale behind methodological decisions. Also discussed limitations and other aspects in way more depth. ","I don't think the instructions were very clear, and I didn't really understand what I was doing when I was doing it, and I think that could have impacted the reliability of my answers. Therefore, clearer and more defined instructions and understanding of goals for the study would make it better in my opinion. ","Presentation would be my preference. I think this way is better in obtaining a comprehensive understanding of the study. "
"8","fd518adcd5c36120a274efd435059183","STAT-218-009.1241","I agree","TRUE","Researchers have a whole process: observations, questions, hypothesis, experiments, collecting and analyzing data, and forming a conclusion or rejecting/accepting a hypothesis. The general public focuses more on the outcome. They often only really think of the end results and conclusions.","57599-47513-29999-46060","I think the purpose of this experiment was to collect data on how participants interpreted the values of different bars in comparison to different lengths/heights.","The null hypothesis could've been ""Participants will be able to come up with the correct value of the bar if giving a bar height and number to compare it to.""

The alternate hypothesis could've been ""Participants will not be able to come up with the correct value of the bar if giving a bar height and number to compare it to.""","A source of error could possibly be technological issues due to this experiment being done on the computer.

Another source could be human error; for example, I might've put in the wrong code at the beginning of the experiment.","The variables examined were which bar was higher (categorical) and what was the estimated value of that bar compared to another (quantitative).","Randomization was present because we were randomly assigned a set of physical bar graphs.","The overall main point goal of the experiment is much clearer now. I didn't even realize that the 3D estimates and the 2D estimates were going to be prepared. Looking back though I do believe it was more difficult for me to estimate the 3D models than the 2D models. My only question is if there were any identical models from 3D to 2D that I gave different answers for.","I got a lot more information from this video presentation. It really laid out what was going on during the entire study and also gave reason as to why the study was being done.","I think they emphasized more why the study was being done. They also emphasized more of the results. I think this may be because they didn't want the results given out to change the way people respond to questions in previous parts of this experiment.","I really don't have any critiques. I think it ran very smoothly and I can't really think of a way to make it better.","I would prefer the presentation because it offers much more information. I think the presentation is better for determining whether the experiment was well designed."
